version,2.3.0
info,balls_per_over,6
info,team,Hampshire
info,team,Surrey
info,team_type,club
info,gender,male
info,season,2023
info,date,2023/04/13
info,date,2023/04/14
info,date,2023/04/15
info,date,2023/04/16
info,event,County Championship
info,match_id,1347212
info,match_type,MDM
info,venue,"Kennington Oval, London"
info,city,London
info,toss_winner,Hampshire
info,toss_decision,bat
info,umpire,AG Wharf
info,umpire,RJ Warren
info,match_referee,JJ Whitaker
info,winner,Surrey
info,winner_wickets,9
info,player,Hampshire,FS Organ
info,player,Hampshire,FS Middleton
info,player,Hampshire,NRT Gubbins
info,player,Hampshire,JM Vince
info,player,Hampshire,LA Dawson
info,player,Hampshire,BC Brown
info,player,Hampshire,IG Holland
info,player,Hampshire,KHD Barker
info,player,Hampshire,JK Fuller
info,player,Hampshire,KJ Abbott
info,player,Hampshire,Mohammad Abbas
info,player,Surrey,RJ Burns
info,player,Surrey,DP Sibley
info,player,Surrey,OJ Pope
info,player,Surrey,RS Patel
info,player,Surrey,J Clark
info,player,Surrey,JL Smith
info,player,Surrey,CT Steel
info,player,Surrey,SA Abbott
info,player,Surrey,TE Lawes
info,player,Surrey,KAJ Roach
info,player,Surrey,DJ Worrall
info,registry,people,AG Wharf,2e0fcc58
info,registry,people,BC Brown,8af86756
info,registry,people,CT Steel,5899dceb
info,registry,people,DJ Worrall,208f22ea
info,registry,people,DP Sibley,97e434a6
info,registry,people,FS Middleton,8492a4de
info,registry,people,FS Organ,819ae1ad
info,registry,people,IG Holland,4167f30b
info,registry,people,J Clark,c672e80e
info,registry,people,JJ Whitaker,4ea85016
info,registry,people,JK Fuller,dda5aae5
info,registry,people,JL Smith,c834c290
info,registry,people,JM Vince,a15618fe
info,registry,people,KAJ Roach,78eb4223
info,registry,people,KHD Barker,2223b920
info,registry,people,KJ Abbott,a9da7784
info,registry,people,LA Dawson,4a461c24
info,registry,people,Mohammad Abbas,a089f93f
info,registry,people,NRT Gubbins,c1a89821
info,registry,people,OJ Pope,e94bc520
info,registry,people,RJ Burns,29e8a62e
info,registry,people,RJ Warren,9d1c62d7
info,registry,people,RS Patel,97905e64
info,registry,people,SA Abbott,1a2676c5
info,registry,people,TE Lawes,fe2ac1a8
