version,2.3.0
info,balls_per_over,6
info,team,North-West Warriors
info,team,Northern Knights
info,team_type,club
info,gender,male
info,season,2018
info,date,2018/07/16
info,event,Cricket Ireland Inter-Provincial Limited Over Cup
info,match_id,1136923
info,match_type,ODM
info,overs,50
info,match_number,5
info,venue,"Woodvale Road, Eglinton"
info,city,Eglinton
info,toss_winner,North-West Warriors
info,toss_decision,bat
info,umpire,GN Brolly
info,umpire,Michael Foster
info,reserve_umpire,G McCrea
info,target_overs,2,50
info,target_runs,2,140
info,winner,Northern Knights
info,winner_wickets,2
info,player,North-West Warriors,WTS Porterfield
info,player,North-West Warriors,DA Rankin
info,player,North-West Warriors,AP Gillespie
info,player,North-West Warriors,NJ O'Brien
info,player,North-West Warriors,SR Thompson
info,player,North-West Warriors,AR McBrine
info,player,North-West Warriors,G Kennedy
info,player,North-West Warriors,R Allen
info,player,North-West Warriors,CA Young
info,player,North-West Warriors,D Scanlon
info,player,North-West Warriors,R MacBeth
info,player,Northern Knights,A Dennison
info,player,Northern Knights,JA McCollum
info,player,Northern Knights,C Dougherty
info,player,Northern Knights,MP Ellison
info,player,Northern Knights,HT Tector
info,player,Northern Knights,SC Getkate
info,player,Northern Knights,MR Adair
info,player,Northern Knights,NA Rock
info,player,Northern Knights,J Mulder
info,player,Northern Knights,SM Bunting
info,player,Northern Knights,J Cameron-Dow
info,registry,people,A Dennison,72b95896
info,registry,people,AP Gillespie,8b054bba
info,registry,people,AR McBrine,e957b38f
info,registry,people,C Dougherty,a2a0fa9a
info,registry,people,CA Young,bd0a4a7d
info,registry,people,D Scanlon,51c90542
info,registry,people,DA Rankin,ab859427
info,registry,people,G Kennedy,574b4c01
info,registry,people,G McCrea,46f4a901
info,registry,people,GN Brolly,b7e4df9e
info,registry,people,HT Tector,59ea70a4
info,registry,people,J Cameron-Dow,b9a2c483
info,registry,people,J Mulder,6b64e7a3
info,registry,people,JA McCollum,c7105dab
info,registry,people,MP Ellison,c9e66e00
info,registry,people,MR Adair,fc55ec67
info,registry,people,Michael Foster,0280a934
info,registry,people,NA Rock,43f4087c
info,registry,people,NJ O'Brien,84826f48
info,registry,people,R Allen,415e5c01
info,registry,people,R MacBeth,b4402d8a
info,registry,people,SC Getkate,c8065f31
info,registry,people,SM Bunting,902b91d5
info,registry,people,SR Thompson,7f3ad1ed
info,registry,people,WTS Porterfield,ec02b798
